,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,PBP,PBP,PBP,PBP,PBP,PNN,PNN,PNN,PNN,PNN,PNN-E,PNN-E,PNN-E,PNN-E,PNN-E,NLM,NLM,NLM,NLM,NLM,NLM-E,NLM-E,NLM-E,NLM-E,NLM-E,DNNC-R,DNNC-R,DNNC-R,DNNC-R,DNNC-R
,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw
0,2.60654400128197,1.0227125853577306,-1.9071250311601082,0.9970238095238095,9.803375461385967,2.210379623870645,1.199708594300953,-2.215395820527733,0.9642857142857143,9.778379027691058,2.4787223439612194,1.0172820600568993,-1.8210373037123841,0.9702380952380952,7.762889321644588,2.2489867257161205,0.9215542120875007,-1.826418611187467,0.9910714285714286,8.601531111058327,2.24246756189391,1.0040125999262262,-1.9642929884593425,0.9970238095238095,9.959134610339087,2.209057491638273,0.951219008140379,-1.833056535547413,0.9910714285714286,9.649678143925302,2.614837389589067,1.266405677964998,-2.1108154870415805,0.9642857142857143,11.0253493487996
1,2.819519159578573,1.136622481586359,-2.055142424418512,0.9970238095238095,12.36188846419522,2.0872319309323912,1.118591738799039,-2.1438149303099756,0.9702380952380952,9.012004921438086,3.1959164412615007,1.2268130022139414,-2.026517189679242,0.9226190476190477,8.316085802687388,2.723348092670602,1.0916781985185948,-1.9589815178350305,0.9880952380952381,10.942702048317683,2.7719070307199494,1.0158366157704164,-1.8408428792204963,0.9880952380952381,9.029926187903492,2.7352935576759263,1.0534263142540359,-1.9498041608211123,1.0,11.21982475540427,2.896001121659191,1.347280798627296,-2.1043859523859023,0.9702380952380952,12.017701013812161
2,2.3954508341156022,1.1357800076386384,-2.0627411471435,1.0,12.12456309558792,2.0561811523360896,1.1116249926394255,-2.127738554006874,0.9494047619047619,8.698134864078545,2.7464482294594563,1.0339520263639568,-1.792903502971333,0.9553571428571429,7.897937615015029,2.2145327325656465,0.939430281242484,-1.8415032300320489,0.9910714285714286,9.592276433037677,2.680691737737772,1.0442608908701008,-1.81739276224124,0.9851190476190477,7.7325999628353115,2.1506078927749854,0.8928365534245282,-1.82419879464413,0.9970238095238095,9.412815876595582,2.5196511228820673,1.194492382209289,-2.0805804416685296,0.9672619047619048,12.016718869155774
3,2.0061763934990644,0.7633713392925033,-1.5887608667404605,0.9910714285714286,7.1868973021486715,1.9112754943757067,1.0545326565126527,-2.074387977240671,0.9583333333333334,8.339897095934207,1.878524073659929,0.8943630768544996,-1.7501584025769108,0.9553571428571429,6.221901733112098,1.8139349124107373,0.926883777960789,-1.8937937512483367,0.9910714285714286,9.636325726535611,1.7559114847836699,0.8344322938524332,-1.7357553346688288,0.9791666666666666,7.322146052420367,1.790926427122043,0.8672543587778155,-1.7885339807276535,0.9880952380952381,8.40018340208808,2.084999321250701,1.0384018834967412,-1.9536240352652006,0.9553571428571429,9.692926244387516
4,2.969300098695245,1.2631172933021506,-2.1133915307576263,0.9970238095238095,12.411109939645304,2.0246551770533876,1.0785838255578295,-2.105042916726332,0.9523809523809523,8.335474782008335,3.1896102358098055,1.116668218942565,-1.823252488558858,0.9583333333333334,8.036385547890317,2.4381027867684266,0.9065401992932087,-1.702893311911448,0.9821428571428571,8.040989533771173,2.8494405432371015,0.9895046707022717,-1.704637406623331,0.9910714285714286,7.7400710327538675,2.6284643285757,1.0058538140271178,-1.8143912257041144,0.9940476190476191,9.942914414634586,2.4488255065884466,1.161312762478851,-2.050653709160076,0.9672619047619048,10.18719220280982
5,2.80974120088534,1.1876299649612418,-2.0454545156855324,0.9940476190476191,12.060818418197677,1.9432938878197656,1.0045273730660687,-2.042107810805226,0.9672619047619048,7.869237338783437,2.8690572723638312,0.9632293342118287,-1.6972755901330099,0.9583333333333334,6.952366990814902,2.5215898669342867,1.0408638620414652,-1.6574823481227956,0.9851190476190477,10.419772240356219,2.4026310548885212,1.2443430374265252,-1.5699797829666557,0.9851190476190477,13.838950559238551,2.4060028728400784,0.8647536829041199,-1.7179184703014638,0.9940476190476191,8.317453708932367,2.1630780268926406,0.9963941712483553,-1.928983719111783,0.9672619047619048,9.080981365725869
6,3.199160535315579,1.4321071502568419,-2.232564813312089,0.9970238095238095,15.229089419818912,2.2117819920296804,1.1871423156292717,-2.2058117330161435,0.9613095238095238,9.582539880860589,3.1518857020525375,1.268267080201862,-2.0429343204817743,0.9880952380952381,12.444699448329542,2.546577376887139,1.1382899458492364,-1.9790198302969377,0.9940476190476191,12.574201560330916,2.9103296473592932,1.0881852280163056,-1.8333459829117857,0.9851190476190477,8.575702230746142,2.53365507298452,1.0309113972983728,-1.8643177886216027,0.9910714285714286,10.099379364030275,2.671711211765272,1.2658013368602599,-2.147246049768156,0.9702380952380952,12.767967681723674
7,2.0191659425459787,0.9926383957271974,-1.9285577398558738,0.9910714285714286,9.784867833088216,2.084761523342378,1.1395429751560624,-2.1581246841219053,0.9613095238095238,8.966027988654654,1.8804169809174331,0.947372544777525,-1.8535141458285727,0.9732142857142857,7.6310068560270325,1.8063245494283224,0.8888400823994109,-1.7971195710499033,0.9880952380952381,8.1838325355205,1.8088885551074239,0.9261094278063724,-1.892909064480675,0.9821428571428571,8.464213248523052,1.804451240943235,0.899472476542517,-1.8433576488506875,0.9910714285714286,8.54206169578143,2.2569271185668565,1.199243503103851,-2.1359184954925086,0.9732142857142857,10.416011022504634
8,1.7848949397394163,1.0660469536682744,-2.1020374571097644,0.9940476190476191,12.488628291227636,1.6971176410568152,0.9435197001064444,-1.956503953730929,0.9672619047619048,7.479998060336998,1.4806804573787165,0.7717177833283015,-1.6809239339012096,0.9434523809523809,5.567267216568368,1.418956793233117,0.7249490131110383,-1.6137301268038584,0.9851190476190477,6.265988803951778,1.3433083156807448,0.680513985085164,-1.5439549760753881,0.9851190476190477,5.86330641034122,1.284314804948264,0.6786678097107737,-1.6079551655809603,0.9880952380952381,6.729134613481473,2.421785569151127,1.1403879070360645,-2.0525143725748882,0.9583333333333334,12.051364248753234
